Date,Open,High,Low,Close,Adj Close,Volume
2020-02-17,3.720000,3.720000,3.720000,3.720000,-7.885352,0
2020-02-18,3.600000,3.600000,3.600000,3.600000,-7.630986,0
2020-02-19,3.580000,3.580000,3.580000,3.580000,-7.588592,0
2020-02-20,3.480000,3.480000,3.480000,3.480000,-7.376620,0
2020-02-21,3.620000,3.620000,3.620000,3.620000,-7.673380,0
2020-02-24,3.620000,3.620000,3.620000,3.620000,-7.673380,0
2020-02-25,3.560000,3.560000,3.560000,3.560000,-7.546197,0
2020-02-26,3.520000,3.520000,3.520000,3.520000,-7.461409,0
2020-02-27,3.380000,3.380000,3.380000,3.380000,-7.164648,0
2020-02-28,3.180000,3.320000,3.180000,3.200000,-6.783099,9450
2020-03-02,3.420000,3.420000,3.420000,3.420000,-7.249437,0
2020-03-03,3.400000,3.400000,3.400000,3.400000,-7.207043,0
2020-03-04,3.300000,3.300000,3.300000,3.300000,-6.995070,0
2020-03-05,3.260000,3.260000,3.260000,3.260000,-6.910282,0
2020-03-06,3.260000,3.260000,3.260000,3.260000,-6.910282,0
2020-03-09,3.060000,3.060000,3.000000,3.000000,-6.359155,3125
2020-03-10,3.140000,3.140000,3.140000,3.140000,-6.655916,0
2020-03-11,3.020000,3.020000,3.020000,3.020000,-6.401549,0
2020-03-12,2.980000,2.980000,2.980000,2.980000,-6.316761,0
2020-03-13,2.880000,2.880000,2.880000,2.880000,-6.104789,0
2020-03-16,2.680000,2.680000,2.680000,2.680000,-5.680845,0
2020-03-17,2.720000,2.720000,2.720000,2.720000,-5.765634,0
2020-03-18,2.680000,2.680000,2.680000,2.680000,-5.680845,0
2020-03-19,2.380000,2.400000,2.380000,2.400000,-5.087324,1000
2020-03-20,2.420000,2.420000,2.420000,2.420000,-5.129718,0
2020-03-23,2.440000,2.440000,2.440000,2.440000,-5.172113,0
2020-03-24,2.760000,2.760000,2.760000,2.760000,-5.850422,0
2020-03-25,2.820000,2.820000,2.820000,2.820000,-5.977605,0
2020-03-26,2.680000,2.680000,2.680000,2.680000,-5.680845,0
2020-03-27,2.840000,2.840000,2.840000,2.840000,-6.020000,0
2020-03-30,2.840000,2.840000,2.840000,2.840000,2.840000,0
2020-03-31,2.900000,2.900000,2.900000,2.900000,2.900000,0
2020-04-01,2.760000,2.760000,2.760000,2.760000,2.760000,0
2020-04-02,2.720000,2.720000,2.720000,2.720000,2.720000,0
2020-04-03,2.620000,2.620000,2.620000,2.620000,2.620000,0
2020-04-06,2.880000,2.880000,2.880000,2.880000,2.880000,0
2020-04-07,2.960000,2.960000,2.960000,2.960000,2.960000,0
2020-04-08,3.020000,3.020000,3.020000,3.020000,3.020000,0
2020-04-09,3.020000,3.020000,3.020000,3.020000,3.020000,0
2020-04-14,3.120000,3.120000,3.120000,3.120000,3.120000,0
2020-04-15,3.080000,3.080000,3.080000,3.080000,3.080000,0
2020-04-16,3.080000,3.080000,3.080000,3.080000,3.080000,0
2020-04-17,3.260000,3.260000,3.260000,3.260000,3.260000,0
2020-04-20,3.320000,3.320000,3.320000,3.320000,3.320000,0
2020-04-21,3.260000,3.260000,3.260000,3.260000,3.260000,0
2020-04-22,3.220000,3.220000,3.220000,3.220000,3.220000,0
2020-04-23,3.320000,3.320000,3.320000,3.320000,3.320000,0
2020-04-24,3.460000,3.460000,3.460000,3.460000,3.460000,0
2020-04-27,3.540000,3.540000,3.540000,3.540000,3.540000,0
2020-04-28,3.440000,3.440000,3.440000,3.440000,3.440000,0
2020-04-29,3.460000,3.460000,3.460000,3.460000,3.460000,0
2020-04-30,3.560000,3.560000,3.560000,3.560000,3.560000,0
2020-05-04,3.520000,3.520000,3.520000,3.520000,3.520000,0
2020-05-05,3.620000,3.620000,3.620000,3.620000,3.620000,0
2020-05-06,3.660000,3.660000,3.660000,3.660000,3.660000,0
2020-05-07,3.780000,3.880000,3.780000,3.880000,3.880000,900
2020-05-08,3.720000,3.720000,3.720000,3.720000,3.720000,0
2020-05-11,3.740000,3.740000,3.740000,3.740000,3.740000,0
2020-05-12,3.720000,3.720000,3.720000,3.720000,3.720000,0
2020-05-13,3.780000,3.780000,3.780000,3.780000,3.780000,0
2020-05-14,3.740000,3.740000,3.740000,3.740000,3.740000,0
2020-05-15,3.720000,3.720000,3.720000,3.720000,3.720000,0
2020-05-18,3.660000,3.660000,3.660000,3.660000,3.660000,0
2020-05-19,3.700000,3.700000,3.700000,3.700000,3.700000,0
2020-05-20,3.720000,3.720000,3.720000,3.720000,3.720000,0
2020-05-21,3.740000,3.740000,3.740000,3.740000,3.740000,0
2020-05-22,3.680000,3.680000,3.680000,3.680000,3.680000,0
2020-05-25,3.760000,3.760000,3.760000,3.760000,3.760000,0
2020-05-26,3.880000,3.880000,3.880000,3.880000,3.880000,0
2020-05-27,3.800000,3.800000,3.800000,3.800000,3.800000,0
2020-05-28,3.720000,3.720000,3.720000,3.720000,3.720000,0
2020-05-29,3.640000,3.720000,3.640000,3.720000,3.720000,340
2020-06-02,3.780000,3.780000,3.780000,3.780000,3.780000,0
2020-06-03,3.700000,3.700000,3.700000,3.700000,3.700000,0
2020-06-04,3.740000,3.740000,3.740000,3.740000,3.740000,0
2020-06-05,3.500000,3.500000,3.500000,3.500000,3.500000,0
2020-06-08,3.540000,3.540000,3.540000,3.540000,3.540000,0
2020-06-09,3.660000,3.660000,3.660000,3.660000,3.660000,0
2020-06-10,3.680000,3.680000,3.680000,3.680000,3.680000,0
2020-06-11,3.600000,3.600000,3.600000,3.600000,3.600000,0
2020-06-12,3.720000,3.720000,3.720000,3.720000,3.720000,0
2020-06-15,3.640000,3.640000,3.640000,3.640000,3.640000,0
2020-06-16,3.740000,3.740000,3.740000,3.740000,3.740000,0
2020-06-17,4.000000,4.000000,4.000000,4.000000,4.000000,0
2020-06-18,4.120000,4.120000,4.120000,4.120000,4.120000,0
2020-06-19,4.200000,4.200000,4.200000,4.200000,4.200000,0
2020-06-22,4.440000,4.440000,4.440000,4.440000,4.440000,100
2020-06-23,4.540000,4.540000,4.540000,4.540000,4.540000,0
2020-06-24,4.420000,4.420000,4.420000,4.420000,4.420000,0
2020-06-25,4.420000,4.420000,4.420000,4.420000,4.420000,0
2020-06-26,4.400000,4.400000,4.400000,4.400000,4.400000,0
2020-06-29,4.300000,4.300000,4.300000,4.300000,4.300000,0
2020-06-30,4.300000,4.300000,4.300000,4.300000,4.300000,0
2020-07-01,4.140000,4.140000,4.140000,4.140000,4.140000,0
2020-07-02,4.180000,4.180000,4.180000,4.180000,4.180000,0
2020-07-03,4.280000,4.280000,4.280000,4.280000,4.280000,0
2020-07-06,4.320000,4.320000,4.320000,4.320000,4.320000,0
2020-07-07,4.380000,4.380000,4.380000,4.380000,4.380000,100
2020-07-08,4.400000,4.400000,4.400000,4.400000,4.400000,0
2020-07-09,4.380000,4.380000,4.380000,4.380000,4.380000,0
2020-07-10,4.360000,4.360000,4.360000,4.360000,4.360000,0
2020-07-13,4.360000,4.360000,4.360000,4.360000,4.360000,0
2020-07-14,4.220000,4.220000,4.220000,4.220000,4.220000,0
2020-07-15,4.320000,4.320000,4.320000,4.320000,4.320000,500
2020-07-16,4.140000,4.140000,4.140000,4.140000,4.140000,750
2020-07-17,4.120000,4.120000,4.120000,4.120000,4.120000,0
2020-07-20,null,null,null,null,null,null
2020-07-21,4.240000,4.240000,4.240000,4.240000,4.240000,0
2020-07-22,4.160000,4.160000,4.160000,4.160000,4.160000,0
2020-07-23,4.160000,4.160000,4.160000,4.160000,4.160000,0
2020-07-24,4.180000,4.180000,4.180000,4.180000,4.180000,0
2020-07-27,4.240000,4.360000,4.240000,4.360000,4.360000,20
2020-07-28,4.200000,4.200000,4.200000,4.200000,4.200000,0
